Asset Type,Technology Platform,AWS Region,Account,Active BC Snow and MDE,Active Bc SNOW,Administrator Group,Asset Count,Asset Name,Azure Arc Status,Boot Time,Business Application Criticality,Business Application Functional Group,Business Application LeanIX,Business Application Name,CSA Reporting Excluded,City,Compliance grace period expiration date,Compliance state,Connected to Azure Arc,Consolidation ID,Country,Created by,DNS,DRS,Date created,EKS Node,EMR Node,Environment,First Seen,Flow State,Has Active Tenable Agent,Has DB,Health Status,HostName,In CMDB,Indirectly Exposed,Join Type,LDAP,Last Authenticated Scan,Last Scanned,Last Seen,Last sync data source,Last synced,Last updated,LeanIX,Location,MDAPT Status,MDE Agent Excluded,Maintenance Window,NetBIOS,Not Complaint in Days,OS,OS Version,Onboarding Status,Operating System Group,Platform,Project,Public,Risk Rating,Risk Score,Seen In AWS,Seen In Azure AD,Seen In Azure Arc,Seen In CSA SWMA Server,Seen In DC,Seen In Intune,Seen In SDI VM,Seen In Servicenow,Seen In Tenable IO,Seen in Defender,Seen in LDAP,Seen in Load Balancer,Sofy Id,Status,Support Group,Tags,Technical Owner,Tenable Agent Excluded,Tenable Status,Updated by,Zone,Microsoft 365 Apps for Enterprise Security Profile,Windows 10 Basic Compliance Policy,PMI Global - Security Profile for Microsoft Edge,PMI Global macOS Compliance Policy,PMI Global EndPoint Protection,IPv4,Next Maintenance Window,Last Maintenance Window,Maintenance Window Missed,Age,Seen in Flexera,Flexera Agent Exlusion,Zone New
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,12,PMIEUIRLDWH33,Connected,09/21/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-06d910431cd047a79,Ireland,sysadmin,,false,30 May 2023 19:14:50,false,false,prd,05/29/2023,,true,true,Active,pmieuirldwh33,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,30 May 2023 19:14:50,,CLOUD-AWS,Active,false,SUN_22,PMIEUIRLDWH33,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,None,0,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/05/2025,09/28/2025,false,858,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,12,PMIEUIRLSQL32,Connected,09/26/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-00a0e14163cf605f5,Ireland,sysadmin,,false,23 Jul 2022 20:36:00,false,false,prd,07/22/2022,,true,true,Active,pmieuirlsql32,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,23 Jul 2022 20:36:00,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSQL32,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,Medium,4.78,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1169,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,11,PMIEUIRLSQL33,Connected,09/19/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0b7a58bd2c95a29fe,Ireland,sysadmin,,false,14 Oct 2022 21:21:03,false,false,prd,10/13/2022,,true,true,Active,pmieuirlsql33,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,14 Oct 2022 21:21:03,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSQL33,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,None,0,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1086,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,11,PMIEUIRLSQL34,Connected,09/26/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0a38199bc89cab7c6,Ireland,sysadmin,,false,12 Nov 2022 09:39:23,false,false,prd,11/11/2022,,true,true,Active,pmieuirlsql34,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,12 Nov 2022 09:39:23,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSQL34,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,None,0,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1057,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,13,PMIEUIRLSQL35,Connected,09/26/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0b899d0c6d6fc7bca,Ireland,sysadmin,,false,28 Apr 2023 18:04:37,false,false,prd,12/05/2022,,true,true,Active,pmieuirlsql35,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,28 Apr 2023 18:04:37,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSQL35,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,None,0,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,890,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,12,PMIEUIRLDWH32,Connected,10/02/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-09514d29e179f32b9,Ireland,sysadmin,,false,29 Oct 2022 19:16:36,false,false,prd,10/28/2022,,true,true,Active,pmieuirldwh32,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,29 Oct 2022 19:16:36,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLDWH32,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,None,0,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1071,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,12,PMIEUIRLDWH31,Connected,09/26/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0497b492ed4b24912,Ireland,sysadmin,,false,08 Apr 2022 22:18:17,false,false,prd,04/07/2022,,true,true,Active,pmieuirldwh31,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,08 Apr 2022 22:18:17,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLDWH31,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,Medium,5.39,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1274,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,12,PMIEUIRLSRS30,Connected,09/19/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0c98d625739d3a50f,Ireland,sysadmin,,false,22 Jan 2022 23:18:27,false,false,prd,01/21/2022,,true,true,Active,pmieuirlsrs30,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,22 Jan 2022 23:18:27,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSRS30,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,Medium,5.39,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1350,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,11,PMIEUIRLDWH30,Connected,09/23/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-0c429d129f6de338d,Ireland,sysadmin,,false,22 Jan 2022 23:18:27,false,false,prd,01/21/2022,,true,true,Active,pmieuirldwh30,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,22 Jan 2022 23:18:27,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLDWH30,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,Medium,5.39,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1350,true,false,
Server Asset,AWS,eu-west-1,DEEP TDISF AWS PRD,false,false,TPE Database Support,11,PMIEUIRLSAS30,Connected,09/19/2025,C1 / Large-scale direct sales or processing large-scale consumer data solutions/ Enterprise Critical,Consolidation,LX00416,VP Application for PMIDF,false,N/A,,Not Onboarded,true,i-02c50969083a04a7e,Ireland,sysadmin,,false,22 Jan 2022 23:18:27,false,false,prd,01/21/2022,,true,true,Active,pmieuirlsas30,true,false,Microsoft Entra hybrid joined,Inactive,08/31/2024,10/04/2025,10/04/2025,,,22 Jan 2022 23:18:27,,CLOUD-AWS,Active,false,SAT_21,PMIEUIRLSAS30,0,Microsoft Windows Server 2019 Datacenter 10.0.17763,1809,Onboarded,WindowsServer2019,TPE,,false,Medium,5.39,true,true,true,false,false,false,false,true,true,true,true,false,,Active,TPE Database Support,DEEP Total,,false,Active,sysadmin,97,,,,,,,10/04/2025,09/20/2025,false,1350,true,false,
